wine_key,name,cost,vintage,single_estate,alcohol,composition_id,type_id,note,bottle_size,sugar,acidity,ph,vegan,organic,producer_id,region_id,subregion_id,locale_id,appellation_id,maturation_id,vinification_id,,,vendor_sku,quantity
2t-94-c67-cl-pt-do-ci,20yr Tawny,27.6,1994,FALSE,20,67,10,"Walnut, honey and prune on the nose, rich but well balanced dried fruit flavours on the palate.",75,,,,FALSE,FALSE,1,1,1,,1,1,,,,POCT20,10
1t-04-c67-cl-pt-do-ci,10yr Tawny,16.86,2004,FALSE,20,67,10,"Attractive brown-tawny colour with topaz halo. Magnificent nose with a bouquet of dried fruits, wood notes and delicious hints of chocolate. In the taste reveals itself smooth and velvety. A wine of great intensity, revealer of a magnificent tannic strength and a sumptuous elegance. Long and delightful finish.",75,,,,FALSE,FALSE,1,1,1,,1,2,,,,POCT10,32
l-07-c67-cl-pt-do-ci,LBV,13.74,2007,FALSE,20,67,10,"Intense red colour. Rich and seductive nose, full of red fruit aromas in jam combined with floral nuances. The taste shows very intense fruity flavours, in a fantastic depth. Sweet and velvety, with a refreshing acidity well-balanced by the tannins subtlety. Ends long and persistent.",75,,,,FALSE,FALSE,1,1,1,,1,3,,,,POCLBV,15
wd-nv-c68-cl-pt-do-ci,White & Dry,10.62,NV,FALSE,19.5,68,10,"Light straw coloured. Rich and aromatic nose, with exuberating floral aromas and tropical fruit notes. Smooth, full-bodied and determined on the taste with a delicious fruity finish.",75,,,,FALSE,FALSE,1,1,1,,1,,,,,POCWD,15
gv-12-c1-grro-at-we-ro,Gruner Veltliner,9.29,2012,TRUE,12.5,1,6,"A spicy, lively style of Gruner Veltliner that wakes up all your (wine) senses. With subtle apple aromas over an attractive white pepper note.",75,3.7,6.1,,FALSE,FALSE,2,2,22,,2,4,3,,,AUWGV12,15
wsfb-12-c2-wivi-en-ha,Wickham Selection Fume Blanc ,13.32,2012,TRUE,12,2,6,,75,,,,FALSE,FALSE,3,3,,,,,,,,SSUKWFB,15
rdrb-nv-c3-ru-fr-ch,R' de Ruinart Brut,38.12,NV,FALSE,12,3,7,"At first the nose is delicate, fresh and fruity, filled with white-fleshed fruits (pears, Bosc apples), ",75,9,,,FALSE,FALSE,4,4,,,3,,4,,,CHRUI,15
ssb-09-c4-prhi-au-li-co,Semillon Sauvignon Blanc,5.21,2009,FALSE,11,4,6,"apricots, as well as hazelnuts and fresh almonds. Several floral and spicy notes add an extra hint ",75,,,,FALSE,FALSE,5,5,2,,4,4,3,,,AUASSB,15
tcs-12-c5-alsu-es-la,Tempranillo Cabernet Sauvignon,5.96,2012,FALSE,13,5,1,Rich blackberry and strawberry aromas blended with some vanilla give a great ripe feel on the nose. These juicy berry flavours continue on the palate and balance well with soft tannins and medium acidity. A good fruit driven finish.,75,,,,FALSE,FALSE,6,6,,,,,,,,SWAL,15
b-09-c6-alcl-it-pi-ba,Barolo,20.16,2009,FALSE,14.5,6,2,"Classic and complex. Barolo at its best. A rich bramble, leather, rose and cherry nose that deepens on the palate, developing truffle, floral and blackcurrant flavours, all balanced well by the high acidity and classic firm tannins",75,,,,FALSE,FALSE,7,7,3,,6,11,12,,,ITBAC,15
g-13-c8-ar-it-si,Grillo ,7.33,2013,FALSE,12.5,8,6,"Golden yellow with an intense aroma of passion fruit, pineapple and lemons. Great palate with some light spices coming through on the finish",75,,,,FALSE,FALSE,8,8,,,8,,,,,ITGRI,15
ps-09-c9-ar-it-pu-sa,Primitivo Salento ,7.48,2009,FALSE,13.5,9,1,"Intense dark ruby colour, black cherry flavours mixed with cinnamon and black pepper spice. Chunky generous tannin balance the intense rich plum and mocha flavours well. Hand-Picked",75,,,,FALSE,FALSE,8,9,4,,9,,,,,ITSP,15
bg-nv-c10-arde-fr-ch-150,Brut Gold ,671.8,NV,TRUE,12.5,10,7,"Marvelously complex and full-bodied, its bouquet is both fresh and lively, with light floral notes. On the palate, our Brut Gold has a sumptuous, racy fruit character perfectly integrated with the wine’s subtle brioche accents. The Champagne’s texture is deliciously creamy, with great depth paired with a long, silky finish.",150,,,,FALSE,FALSE,9,4,,,3,,4,,,CHARM150,15
bg-nv-c10-arde-fr-ch,Brut Gold ,246.61,NV,TRUE,12.5,10,7,"Marvelously complex and full-bodied, its bouquet is both fresh and lively, with light floral notes. On the palate, our Brut Gold has a sumptuous, racy fruit character perfectly integrated with the wine’s subtle brioche accents. The Champagne’s texture is deliciously creamy, with great depth paired with a long, silky finish.",75,,,,FALSE,FALSE,9,4,,,3,,4,,,CHARM,15
bd-11-c7-alcl-it-pi-al,Barbera d'Alba ,11.52,2011,TRUE,14.5,7,2,"Red cherries and cranberry purfume, medium tannins, tart redcurrant on the palate.",75,,,,FALSE,TRUE,7,7,5,3,7,6,,,,ITACB,15
r-nv-c10-arde-fr-ch,Rosé,371.2,NV,TRUE,12.5,10,7,"Our Rosé is announced with a rich bouquet of red fruits with delicate, smoky grilled notes behind. It is fresh and full-bodied on the palate with aromas of strawberries and blackcurrant, and is lingering and complex in its finish.",75,,,,FALSE,FALSE,9,4,,,3,,1,,,CHARMR,15
md-nv-c13-bade-pt-ma,Madeira Doce,11.54,NV,FALSE,20,13,9,"Caramel and figs on the nose, with honey like sweetness on the palate, supported by high acidity, medium body and great nutty prune flavours",75,,,,FALSE,FALSE,10,10,,,10,7,,,,MABVS,15
rmds-11-c12-cavi-it-tu-mo,Roggiano Morellino di Scansano ,10.25,2011,,12.5,12,2,"The Morellino di Scansano Roggiano has no full ruby color, rich chromatic material, enlivened with purple reflections. The olfactory bouquet is characterized by character and charm, breadth and depth, with fruity, floral and spicy with soft hints of underbrush. The enjoyment of tasting does not miss anything in terms of persistence and balance the tannins are very present but elegant, subtle, balanced, together with the freshness, by a fruity roundness",75,,,,FALSE,FALSE,11,11,6,,11,8,,,,ITMSR,15
msti-12-c14-cavi-it-tu,Morellino Scantianum Toscana IGT ,8.26,2012,FALSE,13,14,2,"This smells great all filled with pomegranate, cranberry and sour black cherry fruit. A bit wild and wooly but very perfumed. A bit soft on entry, then fairly broad in the mouth, there’s some lovely grapey and tart fruit flavors and very modest, soft little tannins adding a bit of detail in the mouth but for the most part this is just simple and easy going.",75,,,,FALSE,FALSE,11,11,,,12,,2,,,ITMST,15
rg-12-c15-ca-it-fr-co,Ribolla Gialla,11.3,2012,TRUE,12.5,15,6,It has a pale yellow colour with grey reflections. At the nose it is fragrant and floral while it the mouth it is possible to recognise its pleasant and fine acidity which makes of it an unmistakeable wine - among the other wines of Friuli - and gives it an elegant freshness.,75,,5,,FALSE,FALSE,12,12,7,,13,4,3,,,ITCRG,15
cdnvb-09-c16-domo-fr-bu-ct,Côte de Nuits Villages Blanc,15.83,2009,FALSE,13,16,5,"Classic elegant white burgundy – toasted wood and rich lemon flavours, apples and limestone on the palate; all balanced beautifully by a medium body and fresh acidity. Elegant and refined",75,,,,FALSE,FALSE,13,13,8,,14,,,,,FRMCVB,15
cbcspm-08-c17-id-za-co-st,"Cape Blend - Cabernet Sauvignon, Pinotage, Merlot",20.36,2008,TRUE,15,17,1,"A smooth rich wine made from the Cape's own grape Pinotage blended with Cabernet Sauvignon and Merlot. This blend offers abundant aromas of deep red cherry fruit, sweet caramel and fragrant cigar smoke. It has a great depth of dark fruit flavour on the palate that continues on the long finish",75,,,,FALSE,FALSE,14,14,9,,,9,5,,,SAICB,15
s-11-c18-thau-za-br-wo,Syrah,11.6,2011,FALSE,13.5,18,1,"Black cherry is very much in evidence, enlivened by pepper, buchu and spice. The clever use of oak ensures that the fruit is well complimented with slight hints of vanilla and almond without overpowering the fruit. The rounded ripe tannins ensure that the mid palate is lush, packed with flavours influences lightens and lengthens the finish. ",75,,,,FALSE,FALSE,15,15,10,5,,,,,,SAACSV,15
gmsb-13-c19-doge-nz-ma-wa,Golden Mile Sauvignon Blanc,8.78,2013,FALSE,13.5,19,6,"Classic cut grass, gooseberry nose, with great concentration on the palate. High acidity and a good finish",75,,,,FALSE,FALSE,16,16,11,9,,,,,,NZGMSB,15
s-03-c20-ca-it-fr-co,Schioppettino,17.23,2003,TRUE,13,20,2,"It has a bright violet ruby red; at the nose it is unmistakeable the scent of pepper that mixes with other spices (nutmeg, cloves); in the mouth you can recognised these notes and there the wine opens velvety, soft and balanced. The finish is long pleasant and full",75,,,,FALSE,FALSE,12,12,7,,15,10,6,,,ITCSC,15
